data,sample_size,RMSE,MAE,time_took,kernel
abalone,80,1.499227237,0.967693833,0.454829,Matern52
abalone,320,1.996701494,1.458036406,2.708191,Matern52
abalone,560,2.053533119,1.489066791,6.741755,Matern52
abalone,800,2.170956306,1.45731713,13.238219,Matern52
abalone,1040,2.281805585,1.51889044,20.681848,Matern52
abalone,1280,2.138946918,1.514651767,37.388507,Matern52
abalone,1520,2.227702206,1.601027334,45.032869,Matern52
abalone,1760,2.058337457,1.450486328,50.617773,Matern52
abalone,2000,2.221377493,1.554319302,65.989819,Matern52
abalone,2240,1.936740165,1.399956293,99.225382,Matern52
abalone,2480,2.059005071,1.394501658,107.548909,Matern52
abalone,2720,2.339303004,1.641703841,121.295916,Matern52
abalone,2960,2.193883803,1.512017974,156.645143,Matern52
abalone,3200,1.975854926,1.437665102,205.461249,Matern52
abalone,80,1.83510249,1.627598577,0.623993,MLP
abalone,320,1.653504364,1.264137559,2.194369,MLP
abalone,560,2.149487684,1.613639903,6.513202,MLP
abalone,800,2.036078861,1.443620185,14.637334,MLP
abalone,1040,2.143710699,1.593824822,24.778309,MLP
abalone,1280,2.166471956,1.538236083,40.744093,MLP
abalone,1520,2.044283342,1.446779968,56.662497,MLP
abalone,1760,2.099490273,1.490004868,69.620177,MLP
abalone,2000,2.232956354,1.522431309,76.729182,MLP
abalone,2240,1.988235244,1.44333741,151.961985,MLP
abalone,2480,2.19578947,1.523060857,125.436367,MLP
abalone,2720,2.005923947,1.445420968,162.918905,MLP
abalone,2960,2.150126793,1.496967512,184.997728,MLP
abalone,3200,2.294573004,1.560833722,244.863642,MLP
abalone,80,2.508509175,1.490089169,1.320265,RBF
abalone,320,2.010195852,1.568861882,6.565753,RBF
abalone,560,2.239539693,1.619285109,18.880581,RBF
abalone,800,1.911303583,1.406842524,40.658526,RBF
abalone,1040,2.054225506,1.487317057,68.699629,RBF
abalone,1280,2.109496984,1.446676457,111.212457,RBF
abalone,1520,2.020396431,1.504050191,135.618287,RBF
abalone,1760,1.979483072,1.481981928,168.202567,RBF
abalone,2000,1.963507127,1.406393127,198.972091,RBF
abalone,2240,2.14341183,1.484845184,263.011866,RBF
abalone,2480,1.995993579,1.401863369,311.893283,RBF
abalone,2720,2.031320585,1.436805801,371.763141,RBF
abalone,2960,1.986370071,1.420218156,441.197385,RBF
abalone,3200,1.977073711,1.430916084,562.624497,RBF
