data,sample_size,RMSE,MAE,time_took,kernel
airplane,80,0.783830152,0.571263279,1.2953,Matern52
airplane,880,0.88786217,0.639760293,20.861609,Matern52
airplane,1680,0.97283002,0.651814121,35.643713,Matern52
airplane,2480,1.068931518,0.659366559,119.004013,Matern52
airplane,3280,1.019188514,0.627445805,307.000063,Matern52
airplane,4080,1.114766519,0.654291057,207.101334,Matern52
airplane,4880,0.902483447,0.597148217,311.988767,Matern52
airplane,5680,0.916486305,0.605086819,448.217037,Matern52
airplane,6480,0.93787331,0.64193633,623.170728,Matern52
airplane,80,1.295948863,0.816186232,0.579494,RBF
airplane,880,0.891204012,0.627507782,47.322545,RBF
airplane,1680,0.918487593,0.644341562,36.379701,RBF
airplane,2480,0.917604826,0.653163698,67.575627,RBF
airplane,3280,0.790484484,0.579546005,127.408155,RBF
airplane,4080,0.923595997,0.611380719,208.745515,RBF
airplane,4880,0.956558959,0.630262949,313.638556,RBF
airplane,5680,0.885232522,0.605316813,449.205183,RBF
airplane,6480,0.991482636,0.608930271,623.088641,RBF
airplane,80,0.677292256,0.599189394,1.173004,MLP
airplane,880,1.031412657,0.640363516,8.252677,MLP
airplane,1680,0.924063693,0.639112054,30.508289,MLP
airplane,2480,0.845135546,0.581094187,69.295547,MLP
