"data","kernel","sample_size","time.taken","RMSE","MAE"
"abalone","Matern52",80,0.454829,1.499227237,0.967693833
"abalone","Matern52",320,2.708191,1.996701494,1.458036406
"abalone","Matern52",560,6.741755,2.053533119,1.489066791
"abalone","Matern52",800,13.238219,2.170956306,1.45731713
"abalone","Matern52",1040,20.681848,2.281805585,1.51889044
"abalone","Matern52",1280,37.388507,2.138946918,1.514651767
"abalone","Matern52",1520,45.032869,2.227702206,1.601027334
"abalone","Matern52",1760,50.617773,2.058337457,1.450486328
"abalone","Matern52",2000,65.989819,2.221377493,1.554319302
"abalone","Matern52",2240,99.225382,1.936740165,1.399956293
"abalone","Matern52",2480,107.548909,2.059005071,1.394501658
"abalone","Matern52",2720,121.295916,2.339303004,1.641703841
"abalone","Matern52",2960,156.645143,2.193883803,1.512017974
"abalone","Matern52",3200,205.461249,1.975854926,1.437665102
"abalone","MLP",80,0.623993,1.83510249,1.627598577
"abalone","MLP",320,2.194369,1.653504364,1.264137559
"abalone","MLP",560,6.513202,2.149487684,1.613639903
"abalone","MLP",800,14.637334,2.036078861,1.443620185
"abalone","MLP",1040,24.778309,2.143710699,1.593824822
"abalone","MLP",1280,40.744093,2.166471956,1.538236083
"abalone","MLP",1520,56.662497,2.044283342,1.446779968
"abalone","MLP",1760,69.620177,2.099490273,1.490004868
"abalone","MLP",2000,76.729182,2.232956354,1.522431309
"abalone","MLP",2240,151.961985,1.988235244,1.44333741
"abalone","MLP",2480,125.436367,2.19578947,1.523060857
"abalone","MLP",2720,162.918905,2.005923947,1.445420968
"abalone","MLP",2960,184.997728,2.150126793,1.496967512
"abalone","MLP",3200,244.863642,2.294573004,1.560833722
"abalone","RBF",80,1.320265,2.508509175,1.490089169
"abalone","RBF",320,6.565753,2.010195852,1.568861882
"abalone","RBF",560,18.880581,2.239539693,1.619285109
"abalone","RBF",800,40.658526,1.911303583,1.406842524
"abalone","RBF",1040,68.699629,2.054225506,1.487317057
"abalone","RBF",1280,111.212457,2.109496984,1.446676457
"abalone","RBF",1520,135.618287,2.020396431,1.504050191
"abalone","RBF",1760,168.202567,1.979483072,1.481981928
"abalone","RBF",2000,198.972091,1.963507127,1.406393127
"abalone","RBF",2240,263.011866,2.14341183,1.484845184
"abalone","RBF",2480,311.893283,1.995993579,1.401863369
"abalone","RBF",2720,371.763141,2.031320585,1.436805801
"abalone","RBF",2960,441.197385,1.986370071,1.420218156
"abalone","RBF",3200,562.624497,1.977073711,1.430916084
"airplane","Matern52",80,1.2953,0.783830152,0.571263279
"airplane","Matern52",880,20.861609,0.88786217,0.639760293
"airplane","Matern52",1680,35.643713,0.97283002,0.651814121
"airplane","Matern52",2480,119.004013,1.068931518,0.659366559
"airplane","Matern52",3280,307.000063,1.019188514,0.627445805
"airplane","Matern52",4080,207.101334,1.114766519,0.654291057
"airplane","Matern52",4880,311.988767,0.902483447,0.597148217
"airplane","Matern52",5680,448.217037,0.916486305,0.605086819
"airplane","Matern52",6480,623.170728,0.93787331,0.64193633
"airplane","MLP",80,1.173004,0.677292256,0.599189394
"airplane","MLP",880,8.252677,1.031412657,0.640363516
"airplane","MLP",1680,30.508289,0.924063693,0.639112054
"airplane","MLP",2480,69.295547,0.845135546,0.581094187
"airplane","RBF",80,0.579494,1.295948863,0.816186232
"airplane","RBF",880,47.322545,0.891204012,0.627507782
"airplane","RBF",1680,36.379701,0.918487593,0.644341562
"airplane","RBF",2480,67.575627,0.917604826,0.653163698
"airplane","RBF",3280,127.408155,0.790484484,0.579546005
"airplane","RBF",4080,208.745515,0.923595997,0.611380719
"airplane","RBF",4880,313.638556,0.956558959,0.630262949
"airplane","RBF",5680,449.205183,0.885232522,0.605316813
"airplane","RBF",6480,623.088641,0.991482636,0.608930271
"SARCOS","Matern52",100,0.82334,13.95223825,9.926410779
"SARCOS","Matern52",1100,37.295864,9.386963539,6.48137525
"SARCOS","Matern52",2100,143.643166,7.759405094,5.454813858
"SARCOS","MLP",100,0.777543,13.75659745,10.30870477
"SARCOS","MLP",1100,32.809074,9.166809975,7.101548047
"SARCOS","MLP",2100,115.885329,8.149666783,6.207844466
"SARCOS","MLP",3100,275.12907,7.377404319,5.496847953
"SARCOS","RBF",100,1.324704,12.73148303,9.944785157
"SARCOS","RBF",1100,41.007057,9.242523951,6.563854914
"SARCOS","RBF",2100,205.552837,8.478004883,5.834391289
"SARCOS","RBF",3100,258.347228,7.047618282,5.014084633
"SARCOS","RBF",4100,484.896851,6.457436785,4.685011266
"SARCOS","RBF",5100,908.39621,6.271781768,4.428475043
"SARCOS","RBF",6100,1296.638671,5.799011124,4.150373006
"SARCOS","RBF",7100,1902.583803,5.584168018,3.9696028
