data,sample_size,RMSE,MAE,time_took,kernel
SARCOS,100,13.95223825,9.926410779,0.82334,Matern52
SARCOS,1100,9.386963539,6.48137525,37.295864,Matern52
SARCOS,2100,7.759405094,5.454813858,143.643166,Matern52
SARCOS,100,13.75659745,10.30870477,0.777543,MLP
SARCOS,1100,9.166809975,7.101548047,32.809074,MLP
SARCOS,2100,8.149666783,6.207844466,115.885329,MLP
SARCOS,3100,7.377404319,5.496847953,275.12907,MLP
SARCOS,100,12.73148303,9.944785157,1.324704,RBF
SARCOS,1100,9.242523951,6.563854914,41.007057,RBF
SARCOS,2100,8.478004883,5.834391289,205.552837,RBF
SARCOS,3100,7.047618282,5.014084633,258.347228,RBF
SARCOS,4100,6.457436785,4.685011266,484.896851,RBF
SARCOS,5100,6.271781768,4.428475043,908.39621,RBF
SARCOS,6100,5.799011124,4.150373006,1296.638671,RBF
SARCOS,7100,5.584168018,3.9696028,1902.583803,RBF
