data,sample_size,RMSE,MAE,time_took,kernel
sarcos,100,17.4017546,11.42819001,0.178871,"Matern(length_scale=1.1, nu=1.5)"
sarcos,100,19.64633175,13.22929659,0.17875,"Matern(length_scale=1.1, nu=1.5)"
sarcos,1100,11.73927935,6.426720334,6.947793,"Matern(length_scale=1.1, nu=1.5)"
sarcos,2100,10.49651672,5.486259938,24.09992,"Matern(length_scale=1.1, nu=1.5)"
sarcos,3100,10.09114695,5.071603932,59.112193,"Matern(length_scale=1.1, nu=1.5)"
sarcos,4100,9.260186754,4.577020668,119.085309,"Matern(length_scale=1.1, nu=1.5)"
sarcos,5100,8.566676458,4.128734773,212.16465,"Matern(length_scale=1.1, nu=1.5)"
sarcos,6100,8.189781979,3.919579949,348.418298,"Matern(length_scale=1.1, nu=1.5)"
sarcos,7100,7.750036372,3.672550228,532.804903,"Matern(length_scale=1.1, nu=1.5)"
sarcos,8100,7.43977571,3.367881639,774.644158,"Matern(length_scale=1.1, nu=1.5)"
sarcos,9100,6.995028694,3.175058991,1082.436017,"Matern(length_scale=1.1, nu=1.5)"
sarcos,10100,6.195603481,2.838885485,1456.487438,"Matern(length_scale=1.1, nu=1.5)"
sarcos,11100,6.331561459,2.765156761,2078.841223,"Matern(length_scale=1.1, nu=1.5)"
sarcos,12100,5.543646571,2.468254563,5288.072053,"Matern(length_scale=1.1, nu=1.5)"
sarcos,13100,5.533101712,2.494396895,3376.00127,"Matern(length_scale=1.1, nu=1.5)"
sarcos,14100,5.382271421,2.283284571,4238.116249,"Matern(length_scale=1.1, nu=1.5)"
sarcos,15100,5.052267585,2.183739073,5181.567849,"Matern(length_scale=1.1, nu=1.5)"
sarcos,16100,5.238936259,2.215914603,18509.97295,"Matern(length_scale=1.1, nu=1.5)"
sarcos,17100,4.986716735,1.987548763,7438.574355,"Matern(length_scale=1.1, nu=1.5)"
sarcos,100,20.4513132,14.00741325,0.18668,"Matern(length_scale=1.1, nu=1.5)"
sarcos,1100,11.53513428,6.450722946,24.618741,"Matern(length_scale=1.1, nu=1.5)"
sarcos,2100,9.765190305,5.280961929,26.441855,"Matern(length_scale=1.1, nu=1.5)"
sarcos,3100,8.245731771,4.439731623,64.763846,"Matern(length_scale=1.1, nu=1.5)"
sarcos,4100,9.084130269,4.605825065,119.295903,"Matern(length_scale=1.1, nu=1.5)"
sarcos,5100,8.293068756,4.084610337,212.665799,"Matern(length_scale=1.1, nu=1.5)"
sarcos,6100,7.812657329,3.749121228,348.764769,"Matern(length_scale=1.1, nu=1.5)"
sarcos,7100,6.621796972,3.367538546,533.226813,"Matern(length_scale=1.1, nu=1.5)"
sarcos,8100,7.010620172,3.335022929,776.000662,"Matern(length_scale=1.1, nu=1.5)"
sarcos,9100,6.380726928,3.01300408,1189.7655,"Matern(length_scale=1.1, nu=1.5)"
sarcos,10100,6.412594768,2.872913537,1458.006834,"Matern(length_scale=1.1, nu=1.5)"
sarcos,11100,6.945849081,2.944074715,2104.045696,"Matern(length_scale=1.1, nu=1.5)"
sarcos,12100,5.94655985,2.619248272,2222.863087,"Matern(length_scale=1.1, nu=1.5)"
sarcos,13100,5.574320718,2.415454335,3416.037562,"Matern(length_scale=1.1, nu=1.5)"
sarcos,14100,6.137435241,2.532768863,4232.395924,"Matern(length_scale=1.1, nu=1.5)"
sarcos,15100,5.571662049,2.281633469,12481.54002,"Matern(length_scale=1.1, nu=1.5)"
sarcos,16100,5.714200574,2.223031201,6211.424636,"Matern(length_scale=1.1, nu=1.5)"
sarcos,17100,5.102321797,2.045507981,7465.675592,"Matern(length_scale=1.1, nu=1.5)"
sarcos,100,18.15399771,12.13616862,0.239873,"Matern(length_scale=1.1, nu=2.5)"
sarcos,100,19.07861478,12.94339633,0.169917,"Matern(length_scale=1.1, nu=2.5)"
sarcos,1100,15.10830363,8.484854719,8.862084,"Matern(length_scale=1.1, nu=2.5)"
