data,sample_size,RMSE,MAE,time_took,kernel
abalone,80,10.50238068,,0.019067,"Matern(length_scale=1.1, nu=1.5)"
abalone,480,9.876740353,,0.199546,"Matern(length_scale=1.1, nu=1.5)"
abalone,880,11.06653432,,0.752744,"Matern(length_scale=1.1, nu=1.5)"
abalone,1280,9.992340817,,1.939963,"Matern(length_scale=1.1, nu=1.5)"
abalone,1680,10.47786783,,2.952801,"Matern(length_scale=1.1, nu=1.5)"
abalone,2080,10.4173487,,4.675581,"Matern(length_scale=1.1, nu=1.5)"
abalone,2480,10.41447504,,6.794659,"Matern(length_scale=1.1, nu=1.5)"
abalone,2880,10.51625726,,9.725587,"Matern(length_scale=1.1, nu=1.5)"
abalone,3280,10.32012006,,12.986941,"Matern(length_scale=1.1, nu=1.5)"
abalone,80,10.62308806,10.25,0.019151,"Matern(length_scale=1.1, nu=1.5)"
abalone,320,10.2804426,9.8625,0.091757,"Matern(length_scale=1.1, nu=1.5)"
abalone,560,10.70413805,10.17857143,0.273593,"Matern(length_scale=1.1, nu=1.5)"
abalone,800,10.45920647,9.945,0.605905,"Matern(length_scale=1.1, nu=1.5)"
abalone,1040,10.57446125,10.08846154,1.118763,"Matern(length_scale=1.1, nu=1.5)"
abalone,1280,10.27968263,9.803125,1.940064,"Matern(length_scale=1.1, nu=1.5)"
abalone,1520,10.52903254,10.00789474,2.430562,"Matern(length_scale=1.1, nu=1.5)"
abalone,1760,10.51773394,10.05,3.218101,"Matern(length_scale=1.1, nu=1.5)"
abalone,2000,10.36706323,9.836,4.197097,"Matern(length_scale=1.1, nu=1.5)"
abalone,2240,10.16928147,9.767857143,5.556545,"Matern(length_scale=1.1, nu=1.5)"
abalone,2480,10.34306687,9.875806452,6.782921,"Matern(length_scale=1.1, nu=1.5)"
abalone,2720,10.35282002,9.848529412,8.383868,"Matern(length_scale=1.1, nu=1.5)"
abalone,2960,10.54014206,9.97027027,10.191979,"Matern(length_scale=1.1, nu=1.5)"
abalone,3200,10.37725879,9.86,12.448444,"Matern(length_scale=1.1, nu=1.5)"
abalone,80,9.270922284,9.05,0.01904,"Matern(length_scale=1.1, nu=1.5)"
abalone,320,11.01192535,10.4125,0.091857,"Matern(length_scale=1.1, nu=1.5)"
