data,sample_size,RMSE,MAE,time_took,kernel
airplane,80,1.004738629,,0.056829,"Matern(length_scale=1.1, nu=1.5)"
airplane,880,0.861834854,,0.741798,"Matern(length_scale=1.1, nu=1.5)"
airplane,1680,1.019273417,,2.797155,"Matern(length_scale=1.1, nu=1.5)"
airplane,2480,0.846554314,,6.674126,"Matern(length_scale=1.1, nu=1.5)"
airplane,3280,0.906316848,,12.798097,"Matern(length_scale=1.1, nu=1.5)"
airplane,4080,0.937804599,,21.805617,"Matern(length_scale=1.1, nu=1.5)"
airplane,4880,1.054739132,,34.564203,"Matern(length_scale=1.1, nu=1.5)"
airplane,5680,0.939274137,,52.035223,"Matern(length_scale=1.1, nu=1.5)"
airplane,6480,1.119820376,,75.074673,"Matern(length_scale=1.1, nu=1.5)"
airplane,7280,0.96616809,,104.064616,"Matern(length_scale=1.1, nu=1.5)"
airplane,8080,1.036807941,,140.119441,"Matern(length_scale=1.1, nu=1.5)"
airplane,8880,1.023449646,,183.504254,"Matern(length_scale=1.1, nu=1.5)"
airplane,9680,1.006945128,,235.192598,"Matern(length_scale=1.1, nu=1.5)"
airplane,10480,1.077467096,,295.607509,"Matern(length_scale=1.1, nu=1.5)"
airplane,11280,1.0433864,,365.316401,"Matern(length_scale=1.1, nu=1.5)"
airplane,12080,1.058441828,,445.450164,"Matern(length_scale=1.1, nu=1.5)"
airplane,12880,1.076090669,,537.32383,"Matern(length_scale=1.1, nu=1.5)"
airplane,13680,1.047044621,,639.425181,"Matern(length_scale=1.1, nu=1.5)"
airplane,14480,0.92415321,,755.086793,"Matern(length_scale=1.1, nu=1.5)"
airplane,15280,0.960654692,,882.546882,"Matern(length_scale=1.1, nu=1.5)"
airplane,16080,1.034867932,,1025.93328,"Matern(length_scale=1.1, nu=1.5)"
airplane,16880,0.991565153,,1182.35174,"Matern(length_scale=1.1, nu=1.5)"
airplane,17680,0.957102669,,1352.797845,"Matern(length_scale=1.1, nu=1.5)"
airplane,80,1.262242668,,0.011159,"Matern(length_scale=1.1, nu=1.5)"
airplane,880,0.909914895,,0.749646,"Matern(length_scale=1.1, nu=1.5)"
airplane,1680,0.987329145,,2.799353,"Matern(length_scale=1.1, nu=1.5)"
airplane,2480,1.008811116,,6.68204,"Matern(length_scale=1.1, nu=1.5)"
airplane,3280,1.13535253,,12.831481,"Matern(length_scale=1.1, nu=1.5)"
airplane,4080,0.978715294,,21.837487,"Matern(length_scale=1.1, nu=1.5)"
airplane,4880,0.938368315,,34.586619,"Matern(length_scale=1.1, nu=1.5)"
airplane,5680,0.980413373,,51.979711,"Matern(length_scale=1.1, nu=1.5)"
airplane,6480,0.991051502,,75.14523,"Matern(length_scale=1.1, nu=1.5)"
airplane,7280,0.957125704,,104.302324,"Matern(length_scale=1.1, nu=1.5)"
airplane,8080,0.915645576,,140.388138,"Matern(length_scale=1.1, nu=1.5)"
airplane,8880,1.133981499,,183.819873,"Matern(length_scale=1.1, nu=1.5)"
airplane,9680,0.966701202,,235.778832,"Matern(length_scale=1.1, nu=1.5)"
airplane,10480,0.983661673,,296.198212,"Matern(length_scale=1.1, nu=1.5)"
airplane,11280,0.932832795,,365.041449,"Matern(length_scale=1.1, nu=1.5)"
airplane,12080,1.069329461,,445.514717,"Matern(length_scale=1.1, nu=1.5)"
airplane,12880,1.084269719,,537.678211,"Matern(length_scale=1.1, nu=1.5)"
airplane,13680,1.017862821,,640.281647,"Matern(length_scale=1.1, nu=1.5)"
