"data","kernel","sample_size","time_took","RMSE","MAE"
"abalone","Matern(length_scale=1.1, nu = 2.5)",80,0.000334108333333333,10.377744585,9.9
"abalone","Matern(length_scale=1.1, nu = 2.5)",320,0.00159565,9.713392816,9.225
"abalone","Matern(length_scale=1.1, nu = 2.5)",560,0.0046569,10.52683645,9.985714286
"abalone","Matern(length_scale=1.1, nu = 2.5)",800,0.0104858666666667,10.44341898,9.995
"abalone","Matern(length_scale=1.1, nu = 2.5)",1040,0.0193123333333333,10.51701917,10.00769231
"abalone","Matern(length_scale=1.1, nu = 2.5)",1280,0.0327639166666667,10.30644195,9.865625
"abalone","Matern(length_scale=1.1, nu = 2.5)",1520,0.0409039666666667,10.26401481,9.828947368
"abalone","Matern(length_scale=1.1, nu = 2.5)",1760,0.0545650166666667,10.47930862,9.984090909
"abalone","Matern(length_scale=1.1, nu = 2.5)",2000,0.0708760666666667,10.33469883,9.87
"abalone","Matern(length_scale=1.1, nu = 2.5)",2240,0.0941800333333333,10.52344322,10
"abalone","Matern(length_scale=1.1, nu = 2.5)",2480,0.114848766666667,10.321972665,9.806451613
"abalone","Matern(length_scale=1.1, nu = 2.5)",2720,0.142191283333333,10.48850912,9.992647059
"abalone","Matern(length_scale=1.1, nu = 2.5)",2960,0.172717,10.52744162,10
"abalone","Matern(length_scale=1.1, nu = 2.5)",3200,0.211034133333333,10.44682966,9.91875
"abalone","Matern(length_scale=1.1, nu=1.5)",80,0.000318483333333333,9.886651482,9.05
"abalone","Matern(length_scale=1.1, nu=1.5)",320,0.00153095,10.57236965,10.15
"abalone","Matern(length_scale=1.1, nu=1.5)",560,0.00452511666666667,10.72746808,10.19285714
"abalone","Matern(length_scale=1.1, nu=1.5)",800,0.00994871666666667,10.45920647,9.945
"abalone","Matern(length_scale=1.1, nu=1.5)",1040,0.01864605,10.57446125,10.08846154
"abalone","Matern(length_scale=1.1, nu=1.5)",1280,0.0323626833333333,10.2602661,9.803125
"abalone","Matern(length_scale=1.1, nu=1.5)",1520,0.0406826166666667,10.41734384,9.889473684
"abalone","Matern(length_scale=1.1, nu=1.5)",1760,0.05383385,10.42135046,9.9
"abalone","Matern(length_scale=1.1, nu=1.5)",2000,0.0701108166666667,10.34611038,9.844
"abalone","Matern(length_scale=1.1, nu=1.5)",2240,0.0927413666666667,10.37674254,9.848214286
"abalone","Matern(length_scale=1.1, nu=1.5)",2480,0.113116775,10.378770955,9.875806452
"abalone","Matern(length_scale=1.1, nu=1.5)",2720,0.139974016666667,10.35282002,9.848529412
"abalone","Matern(length_scale=1.1, nu=1.5)",2960,0.17004845,10.26704252,9.806756757
"abalone","Matern(length_scale=1.1, nu=1.5)",3200,0.207719583333333,10.40847011,9.92125
"abalone","RationalQuadratic(alpha=0.1,  length_scale=1)",80,0.00307706666666667,2.2335264425,1.816146284
"abalone","RationalQuadratic(alpha=0.1,  length_scale=1)",320,0.04100855,2.317520327,1.739011922
"abalone","RationalQuadratic(alpha=0.1,  length_scale=1)",560,0.13872835,2.096666431,1.478221486
"abalone","RationalQuadratic(alpha=0.1,  length_scale=1)",800,0.290846666666667,2.263125717,1.607241505
"abalone","RationalQuadratic(alpha=0.1,  length_scale=1)",1040,0.414626116666667,2.165622515,1.517816127
"abalone","RationalQuadratic(alpha=0.1,  length_scale=1)",1280,0.580056408333333,2.0025195785,1.466937257
"abalone","RationalQuadratic(alpha=0.1,  length_scale=1)",1520,0.691876383333333,2.427117234,1.651920983
"abalone","RationalQuadratic(alpha=0.1,  length_scale=1)",1760,0.897461166666667,2.078425912,1.479637743
"abalone","RationalQuadratic(alpha=0.1,  length_scale=1)",2000,1.09742975,2.224397172,1.586708088
"abalone","RationalQuadratic(alpha=0.1,  length_scale=1)",2240,1.67892505,2.262539595,1.563139495
"abalone","RationalQuadratic(alpha=0.1,  length_scale=1)",2480,1.98788831666667,2.157006429,1.497459974
"abalone","RationalQuadratic(alpha=0.1,  length_scale=1)",2720,2.43136111666667,2.174190323,1.548797096
"abalone","RationalQuadratic(alpha=0.1,  length_scale=1)",2960,2.86859731666667,2.082430551,1.480198147
"abalone","RationalQuadratic(alpha=0.1,  length_scale=1)",3200,3.50507848333333,2.155266328,1.525032657
"abalone","RationalQuadratic(alpha=0.1, length_scale=0.5)",80,0.00281295,2.9414523645,2.225790661
"abalone","RationalQuadratic(alpha=0.1, length_scale=0.5)",320,0.0317874,2.78908002,1.991492562
"abalone","RationalQuadratic(alpha=0.1, length_scale=0.5)",560,0.107060916666667,2.434891483,1.653102013
"abalone","RationalQuadratic(alpha=0.1, length_scale=0.5)",800,0.257818716666667,2.05987654,1.496130819
"abalone","RationalQuadratic(alpha=0.1, length_scale=0.5)",1040,0.3798372,2.348165344,1.61018305
"abalone","RationalQuadratic(alpha=0.1, length_scale=0.5)",1280,0.505842491666667,2.342348729,1.646834611
"abalone","RationalQuadratic(alpha=0.1, length_scale=0.5)",1520,0.606899983333333,2.155849978,1.489510892
"abalone","RationalQuadratic(alpha=0.1, length_scale=0.5)",1760,0.8180983,2.248087204,1.579733281
"abalone","RationalQuadratic(alpha=0.1, length_scale=0.5)",2000,1.12912456666667,2.142781707,1.53293982
"abalone","RationalQuadratic(alpha=0.1, length_scale=0.5)",2240,1.62845443333333,2.259945699,1.601449762
"abalone","RationalQuadratic(alpha=0.1, length_scale=0.5)",2480,1.82070891666667,2.267160847,1.518436826
"abalone","RationalQuadratic(alpha=0.1, length_scale=0.5)",2720,2.29290606666667,2.173336062,1.563051316
"abalone","RationalQuadratic(alpha=0.1, length_scale=0.5)",2960,2.78491225,2.228802849,1.562209223
"abalone","RationalQuadratic(alpha=0.1, length_scale=0.5)",3200,3.2893962,2.101273102,1.512999375
"abalone","RationalQuadratic(alpha=2,length_scale=0.5)",80,0.00288186666666667,2.2977218375,1.7063228905
"abalone","RationalQuadratic(alpha=2,length_scale=0.5)",320,0.03993415,2.681823438,1.751296152
"abalone","RationalQuadratic(alpha=2,length_scale=0.5)",560,0.13806855,2.45484812,1.744837429
"abalone","RationalQuadratic(alpha=2,length_scale=0.5)",800,0.296815466666667,2.257572983,1.56416354
"abalone","RationalQuadratic(alpha=2,length_scale=0.5)",1040,0.402422933333333,2.229573492,1.629317905
