method,sample_size,time.taken,RMSE,MAE,time.taken.test
anovadot,100,0.045202017,2.343488941,1.661953484,0.049057007
anovadot,400,0.184202671,2.204027361,1.554901378,0.165491819
anovadot,700,0.647629261,2.163736454,1.567587131,0.292526007
anovadot,1000,1.508388996,2.187682462,1.564963218,0.408820391
anovadot,1300,2.997383118,29.70346308,25.57514158,0.511433601
anovadot,1600,4.858457804,65.42832161,55.80673015,0.615012407
anovadot,1900,8.053776503,165.8083604,159.7679858,0.704067945
anovadot,2200,11.91263866,165.3238677,150.9362513,0.82653594
anovadot,2500,18.10719895,264.0634111,259.7142575,0.928766727
anovadot,2800,26.29806781,93.2270402,82.08347901,1.014840364
anovadot,3100,35.7390027,57.18185045,49.59051322,1.216076612
anovadot,3341,44.62233615,14.8921375,12.07487419,1.318586111
anovadot,100,0.014157295,2.497193416,1.746939172,0.048181534
anovadot,400,0.176128387,2.193328785,1.559383996,0.166108608
anovadot,700,0.652049541,2.163092384,1.565951936,0.279237509
anovadot,1000,1.512058258,2.129900595,1.541088246,0.406003952
anovadot,1300,2.881706715,38.59003078,37.08763056,0.514125824
anovadot,1600,5.226857901,58.76372763,56.34313497,0.617494345
anovadot,1900,8.070738792,121.2841905,107.8120617,0.714914322
anovadot,2200,12.84362602,224.8986917,207.0053772,0.813901424
anovadot,2500,19.18151712,75.86502148,69.3261429,0.913431883
anovadot,2800,25.41496611,168.713552,147.7907647,1.031489134
anovadot,3100,36.28389812,35.69741065,28.64543134,1.210413218
anovadot,3341,44.92944264,25.72924618,22.18518951,1.308289766
laplacedot,100,0.007778645,2.432117178,1.768578746,0.0088346
laplacedot,400,0.088406563,2.228671379,1.575071684,0.032576323
laplacedot,700,0.382641315,2.180642498,1.505890106,0.056373835
laplacedot,1000,0.966947317,2.111779928,1.544650137,0.080567122
laplacedot,1300,1.980760813,2.123922157,1.516832587,0.104153872
laplacedot,1600,3.542718887,2.105057415,1.487248682,0.128273249
laplacedot,1900,6.605366945,2.098208967,1.48941521,0.156069756
laplacedot,2200,10.37061334,2.093161581,1.489336049,0.177113295
laplacedot,2500,15.24010468,2.099410071,1.482769025,0.200925112
laplacedot,2800,22.57447743,2.086245256,1.484154982,0.226876497
laplacedot,3100,30.57586503,2.083589909,1.483651194,0.249638081
laplacedot,3341,38.17446065,2.081576949,1.481103539,0.2669065
rbfdot,100,0.006347895,2.431441557,1.694606764,0.003561497
rbfdot,400,0.069100857,2.242418466,1.594303504,0.011788845
rbfdot,700,0.321673393,2.194995194,1.521986566,0.020657063
rbfdot,1000,0.865071297,2.134877664,1.508113981,0.028962135
rbfdot,1300,1.781374693,2.134868164,1.51952599,0.036576033
rbfdot,1600,3.175047874,2.103130143,1.504620128,0.044815063
rbfdot,1900,5.788626432,2.104594187,1.496007003,0.053400755
rbfdot,2200,9.356317043,2.099014717,1.498591145,0.071631908
rbfdot,2500,14.3224144,2.089655765,1.49385473,0.070151091
rbfdot,2800,20.40778542,2.093742457,1.49228553,0.078748941
rbfdot,3100,28.92046571,2.088547608,1.484423085,0.087119102
rbfdot,3341,37.50506973,2.08838054,1.490516268,0.093363047
vanilladot,100,0.004921436,2.313576426,1.643890461,0.000741959
vanilladot,400,0.05487752,2.216139427,1.589173784,0.000819206
vanilladot,700,0.284678221,2.178718298,1.567808184,0.000833035
vanilladot,1000,0.766185999,2.156957808,1.559682641,0.000869513
vanilladot,1300,1.635319233,2.157666052,1.549738913,0.000870943
vanilladot,1600,3.113956928,2.183465218,1.562245577,0.00087595
vanilladot,1900,5.738239765,2.176758251,1.573783069,0.000877857
vanilladot,2200,8.797099829,2.160464779,1.56000627,0.000911713
vanilladot,2500,14.03315401,2.192930812,1.575207818,0.000896215
vanilladot,2800,20.30021381,2.187579372,1.564072976,0.00093174
vanilladot,3100,28.28130126,2.186180956,1.563069022,0.000937462
vanilladot,3341,35.55252171,2.18377111,1.565239668,0.000923634
vanilladot,100,0.005075216,2.24595079,1.58196168,0.00074482
vanilladot,400,0.054897547,2.195067158,1.546187048,0.000811577
vanilladot,700,0.283305645,2.17945132,1.579419008,0.00085187
vanilladot,1000,0.775273561,2.202305142,1.580244469,0.000870705
vanilladot,1300,1.645709515,2.204851551,1.582481527,0.000841618
vanilladot,1600,3.336074114,2.18731223,1.559545363,0.000876665
vanilladot,1900,5.300518036,2.192458033,1.562985292,0.000902891
vanilladot,2200,8.936933994,2.183993379,1.558344245,0.000900745
vanilladot,2500,14.62679935,2.170721177,1.565161896,0.000923634
vanilladot,2800,20.15031362,2.186776479,1.567496834,0.000930786
vanilladot,3100,27.68168092,2.190725918,1.568725995,0.000942945
vanilladot,3341,36.59529948,2.18377111,1.565239668,0.000946999
vanilladot,100,0.004879951,2.19355653,1.550780789,0.000725031
vanilladot,400,0.056078672,2.210223543,1.576480215,0.000823021
vanilladot,700,0.285180807,2.170241126,1.574425123,0.000825882
vanilladot,1000,0.773609638,2.17047072,1.568419384,0.000891924
vanilladot,1300,1.652104378,2.168503589,1.558664146,0.000884056
vanilladot,1600,3.22528863,2.19931076,1.581480748,0.00087285
vanilladot,1900,5.495471954,2.164065563,1.551877767,0.000936747
vanilladot,2200,8.452850103,2.186286883,1.564586874,0.000903606
vanilladot,2500,13.64340162,2.185697393,1.566644266,0.000947714
vanilladot,2800,20.19090796,2.189476761,1.568423188,0.000977755
vanilladot,3100,28.17155027,2.180262279,1.56119354,0.000929832
vanilladot,3341,36.32683444,2.18377111,1.565239668,0.000912905
vanilladot,100,0.004813433,2.293650998,1.750122788,0.000711203
vanilladot,400,0.053956032,2.189955131,1.58222439,0.000796318
vanilladot,700,0.281005621,2.182386499,1.590354105,0.000849724
vanilladot,1000,0.769343853,2.174789671,1.554979968,0.000869989
vanilladot,1300,1.633089304,2.180779649,1.563376468,0.00090313
vanilladot,1600,3.068414688,2.162593815,1.54218669,0.000869513
vanilladot,1900,4.970574141,2.167993646,1.558820547,0.000865459
vanilladot,2200,9.48748374,2.158957943,1.559689106,0.000947475
vanilladot,2500,14.12621737,2.187331894,1.565913749,0.000896454
vanilladot,2800,20.3015697,2.185064482,1.567866304,0.000907183
vanilladot,3100,28.29282069,2.184180737,1.564982044,0.000945091
vanilladot,3341,36.86203051,2.18377111,1.565239668,0.000926971
