"sample_size","time.taken","RMSE","MAE","time.taken.test"
NA,NA,NA,NA,NA
100,0.0452020168304443,2.34348894105403,1.66195348351764,0.0490570068359375
400,0.184202671051025,2.20402736073352,1.55490137756342,0.165491819381714
700,0.647629261016846,2.16373645439115,1.56758713104887,0.292526006698608
1000,1.50838899612427,2.18768246236429,1.56496321822221,0.408820390701294
1300,2.99738311767578,29.7034630753308,25.5751415814754,0.511433601379395
1600,4.8584578037262,65.4283216119117,55.8067301480762,0.615012407302856
1900,8.05377650260925,165.808360402897,159.767985759297,0.704067945480347
2200,11.9126386642456,165.323867730755,150.936251312656,0.826535940170288
2500,18.1071989536285,264.063411099221,259.714257535861,0.92876672744751
2800,26.2980678081512,93.2270402036038,82.0834790051579,1.01484036445618
3100,35.7390027046204,57.1818504497285,49.5905132177368,1.21607661247253
3341,44.6223361492157,14.8921374950036,12.0748741935748,1.31858611106873
100,0.0141572952270508,2.49719341640723,1.74693917213828,0.0481815338134766
400,0.176128387451172,2.19332878458226,1.5593839963505,0.16610860824585
700,0.652049541473389,2.1630923841488,1.5659519361643,0.279237508773804
1000,1.51205825805664,2.12990059542937,1.54108824561579,0.406003952026367
1300,2.88170671463013,38.5900307768982,37.08763055897,0.514125823974609
1600,5.22685790061951,58.7637276299306,56.3431349703703,0.617494344711304
1900,8.07073879241943,121.284190467785,107.812061708331,0.714914321899414
2200,12.8436260223389,224.898691704266,207.005377199755,0.813901424407959
2500,19.181517124176,75.8650214796587,69.3261429012095,0.913431882858276
2800,25.4149661064148,168.713551965615,147.790764727209,1.03148913383484
3100,36.2838981151581,35.6974106521711,28.6454313377042,1.21041321754456
3341,44.9294426441193,25.7292461825635,22.1851895141711,1.30828976631165
