"sample_size","time.taken","RMSE","MAE","time.taken.test"
NA,NA,NA,NA,NA
100,0.0063478946685791,2.43144155738291,1.69460676400002,0.00356149673461914
400,0.0691008567810059,2.2424184657973,1.59430350350251,0.0117888450622559
700,0.321673393249512,2.19499519392243,1.5219865658094,0.0206570625305176
1000,0.865071296691895,2.13487766378175,1.50811398076006,0.0289621353149414
1300,1.78137469291687,2.13486816423964,1.51952598980279,0.0365760326385498
1600,3.17504787445068,2.10313014258954,1.50462012791605,0.0448150634765625
1900,5.78862643241882,2.10459418692016,1.49600700284014,0.0534007549285889
2200,9.35631704330444,2.09901471745646,1.49859114454976,0.071631908416748
2500,14.3224143981934,2.08965576532874,1.49385472996698,0.0701510906219482
2800,20.4077854156494,2.09374245655403,1.49228552978696,0.0787489414215088
3100,28.9204657077789,2.08854760833653,1.48442308506606,0.0871191024780273
3341,37.505069732666,2.08838054007354,1.4905162683005,0.0933630466461182
