method, sample_size, RMSE, MAE, time.taken
rbfdot, 100,1.10138695715706,,0.020596981048584
rbfdot,1100,0.984058250881856,,1.27571582794189
rbfdot,2100,0.978664890179714,,7.37812304496765
rbfdot,3100,0.978474420508739,,27.0590858459473
rbfdot,4100,0.976539989867142,,65.5037035942078
rbfdot,5100,0.974122264412506,,126.747026205063
rbfdot,6100,0.97308698624586,,213.974832296371
rbfdot,7100,0.974479329453518,,334.844612121582
rbfdot,8100,0.973720872722137,,493.249177217484
rbfdot,9100,0.973423886918506,,705.676817178726
rbfdot,10100,0.972075792173274,,955.181525230408
rbfdot,11100,0.971797984385148,,1255.21685314178
rbfdot,12100,0.971177361391552,,1615.78189778328
rbfdot,13100,0.971279123686325,,2048.47611379623
rbfdot,14100,0.970675800738984,,2556.23305749893
rbfdot,15100,0.97018973783959,,3124.62221264839
rbfdot,100,1.10138695715706,0.800509590337667,0.0191762447357178
rbfdot,1100,0.984058250881856,0.621521372972085,1.28427720069885
rbfdot,2100,0.978664890179714,0.646774375202058,6.98300361633301
rbfdot,3100,0.978474420508739,0.645880289418558,27.0366718769073
rbfdot,4100,0.976539989867142,0.625410098822022,65.8803060054779
rbfdot,5100,0.974122264412506,0.636437881985103,126.938305854797
rbfdot,6100,0.97308698624586,0.62735736655749,215.012146949768
rbfdot,7100,0.974479329453518,0.627029441386763,335.886189460754
rbfdot,8100,0.973720872722137,0.628040861646978,494.298508405685
rbfdot,9100,0.973423886918506,0.626355090114292,706.793865919113
rbfdot,10100,0.972075792173274,0.630445486523328,956.956519603729
rbfdot,11100,0.971797984385148,0.634702765738566,1257.96399116516
rbfdot,12100,0.971177361391552,0.626304896068664,1617.26189184189
rbfdot,13100,0.971279123686325,0.624617564268133,2052.22509503365
rbfdot,14100,0.970675800738984,0.627773196830767,2561.6952393055
rbfdot,15100,0.97018973783959,0.630139932431372,3131.93263101578
rbfdot,16100,0.970621737801766,0.62479689307823,3782.93741750717
laplacedot,100,1.10138695715706,0.800509590337667,0.0195584297180176
laplacedot,1100,0.984058250881856,0.621521372972085,1.29404163360596
laplacedot,2100,0.978664890179714,0.646774375202058,7.59459376335144
laplacedot,3100,0.978474420508739,0.645880289418558,26.8625257015228
laplacedot,4100,0.976539989867142,0.625410098822022,65.5249462127686
laplacedot,5100,0.974122264412506,0.636437881985103,126.530966758728
laplacedot,6100,0.97308698624586,0.62735736655749,213.3379342556
laplacedot,7100,0.974479329453518,0.627029441386763,334.970348358154
laplacedot,8100,0.973720872722137,0.628040861646978,492.653297901154
laplacedot,9100,0.973423886918506,0.626355090114292,704.927627801895
laplacedot,10100,0.972075792173274,0.630445486523328,955.315712690353
laplacedot,11100,0.971797984385148,0.634702765738566,1254.30784511566
laplacedot,12100,0.971177361391552,0.626304896068664,1615.70880746841
laplacedot,13100,0.971279123686325,0.624617564268133,2049.70260047913
vanilladot, 100,1.10138695715706,0.800509590337667,0.0200085639953613
vanilladot, 1100,0.984058250881856,0.621521372972085,1.28159594535828
vanilladot, 2100,0.978664890179714,0.646774375202058,7.41582703590393
vanilladot, 3100,0.978474420508739,0.645880289418558,26.4214971065521
vanilladot, 4100,0.976539989867142,0.625410098822022,65.429575920105
vanilladot, 5100,0.974122264412506,0.636437881985103,126.645184993744
vanilladot, 6100,0.97308698624586,0.62735736655749,214.156270503998
vanilladot, 7100,0.974479329453518,0.627029441386763,335.645067214966
vanilladot, 8100,0.973720872722137,0.628040861646978,491.803214550018
vanilladot, 9100,0.973423886918506,0.626355090114292,710.101477384567
vanilladot, 10100,0.972075792173274,0.630445486523328,961.410272836685
vanilladot, 11100,0.971797984385148,0.634702765738566,1264.57208323479
vanilladot, 12100,0.971177361391552,0.626304896068664,1626.49810242653
vanilladot, 13100,0.971279123686325,0.624617564268133,2061.3501200676
vanilladot, 14100,0.970675800738984,0.627773196830767,2571.3182926178
vanilladot, 15100,0.97018973783959,0.630139932431372,3141.80675458908
