method,sample_size,time.taken,RMSE,MAE,time.taken.test
rbfdot,100,0.024331093,14.19963826,10.06949554,0.108176231
rbfdot,600,0.371691942,7.846938133,4.966765641,0.103711843
rbfdot,1100,1.092060804,6.664954702,4.251647881,0.188278913
rbfdot,1600,3.207813978,5.985382991,3.85920764,0.274464607
rbfdot,2100,7.084788322,5.372005156,3.531385878,0.356582403
rbfdot,2600,16.57521868,5.220799217,3.467796677,0.442282915
rbfdot,3100,28.42130685,4.68053235,3.130656676,0.527500153
rbfdot,3600,45.20437407,4.709701776,3.108043413,0.615044355
rbfdot,4100,67.4653852,4.43753357,2.988329491,0.705621243
rbfdot,4600,96.29787159,4.431301108,2.925874629,0.799806595
rbfdot,5100,129.2470024,4.18768233,2.839149774,0.87642765
rbfdot,5600,168.9210527,4.056524587,2.782964098,0.969053268
rbfdot,6100,217.2428184,4.11724252,2.756343473,1.04745388
rbfdot,6600,272.6428258,3.992399866,2.671297906,1.153578997
rbfdot,7100,344.891886,3.897292405,2.656128762,1.262929201
rbfdot,7600,418.4536216,3.82072703,2.60589659,1.355158806
rbfdot,8100,506.6316392,3.816548828,2.606847769,1.429913044
rbfdot,8600,606.0871251,3.800582005,2.57575837,1.520524263
rbfdot,9100,720.9856617,3.737892618,2.540880517,1.749148846
rbfdot,9600,843.4611294,3.646516981,2.492373845,1.692432404
rbfdot,10100,975.1859457,3.639553517,2.486606843,1.791590452
rbfdot,10600,1121.975082,3.550011471,2.429618407,1.871377707
rbfdot,11100,1285.238727,3.519412258,2.427534307,1.970873594
rbfdot,11600,1454.708223,3.557887411,2.421790277,2.076309443
rbfdot,12100,1653.457527,3.534338217,2.403251259,2.137427568
rbfdot,12600,1862.107658,3.49523804,2.401887767,2.381871939
rbfdot,13100,2138.052115,3.488914754,2.381506573,2.553561211
rbfdot,13600,2300.785616,3.44438681,2.35380109,2.428550005
rbfdot,14100,2587.837818,3.451575451,2.347369417,2.738231421
rbfdot,100,0.118420124,12.07540136,8.563119561,0.109176231
rbfdot,1100,1.720019579,6.427439798,4.068285821,0.187278913
rbfdot,2100,7.830993652,5.454226709,3.479311183,0.358882403
rbfdot,3100,28.14861441,4.927879752,3.177359112,0.527610153
rbfdot,4100,66.72207546,4.495762496,2.955371733,0.711621243
rbfdot,5100,128.1792989,4.272697984,2.83804208,0.86542765
rbfdot,6100,215.9908669,4.08396525,2.731632241,1.02745388
rbfdot,7100,338.3455656,3.897380068,2.571973136,1.288929201
rbfdot,8100,497.4187479,3.829970297,2.57918346,1.459913044
rbfdot,9100,710.5018487,3.705062854,2.44635811,1.749148846
rbfdot,10100,961.2702289,3.654460051,2.477637655,1.791590411
rbfdot,11100,1263.851094,3.552239872,2.437001384,1.970871594
rbfdot,12100,1625.853446,3.577760832,2.395180189,2.137636568
rbfdot,13100,2061.000457,3.483242127,2.330622611,2.553561211
rbfdot,14100,2567.824772,3.443782948,2.347047639,2.738256453
rbfdot,100,0.11386466,15.04554511,,
rbfdot,1100,1.683328867,7.66462688,,
rbfdot,2100,7.793009758,6.10306045,,
rbfdot,3100,28.04695702,5.481022888,,
rbfdot,4100,67.17183113,5.093043845,,
rbfdot,5100,128.6793897,4.80554713,,
rbfdot,6100,216.234396,4.513105387,,
rbfdot,7100,338.4584196,4.335829412,,
rbfdot,8100,497.8863256,4.209672676,,
rbfdot,9100,711.2097611,4.12116348,,
rbfdot,10100,962.4863396,4.013365694,,
rbfdot,11100,1264.635294,3.98023899,,
rbfdot,12100,1628.518885,3.853839957,,
rbfdot,13100,2060.015597,3.802574151,,
rbfdot,14100,2568.591264,3.724090881,,
rbfdot,15100,3142.58074,3.647835023,,
vanilladot,100,0.036973476,6.033177594,4.318668099,0.072890997
vanilladot,600,0.41256547,5.757342207,4.02304524,0.003323317
vanilladot,1100,1.306790352,5.616997175,3.973141753,0.005525589
vanilladot,1600,3.658359289,5.645587197,3.967903964,0.003353357
vanilladot,2100,8.160810947,5.61953208,3.988198292,0.002962828
vanilladot,2600,15.1372242,5.605110557,3.96532192,0.002987146
vanilladot,3100,27.88994694,5.597025785,3.956370315,0.002966404
vanilladot,3600,44.00450754,5.597783756,3.931568926,0.00301218
vanilladot,4100,65.79768419,5.592104867,3.942205639,0.003022909
vanilladot,4600,93.50508428,5.593097882,3.948113893,0.002993822
vanilladot,5100,127.1484709,5.595194015,3.9663674,0.003393888
vanilladot,5600,164.9374762,5.593963493,3.93645809,0.003060818
vanilladot,6100,213.7506151,5.587393382,3.951309047,0.003458261
vanilladot,6600,268.3685939,5.589639836,3.951170007,0.003496885
vanilladot,7100,334.9282172,5.584030652,3.938777894,0.003164291
vanilladot,7600,406.6606915,5.58359433,3.943376882,0.00356555
vanilladot,8100,491.7294211,5.584767326,3.940107531,0.00319171
vanilladot,8600,589.1047933,5.580931066,3.946738838,0.003245354
vanilladot,9100,704.0939484,5.581876181,3.93492075,0.00326848
vanilladot,9600,823.5789964,5.581426853,3.938266958,0.003306627
vanilladot,10100,953.6887829,5.577997301,3.946212575,0.003401041
vanilladot,10600,1138.499715,5.581587496,3.952106717,0.003639698
vanilladot,11100,1307.768817,5.578177141,3.941489039,0.003566742
vanilladot,11600,1486.648295,5.578511937,3.947607405,0.004009962
vanilladot,12100,1690.231982,5.58329297,3.948928867,0.003596783
vanilladot,12600,1909.804255,5.578807765,3.944661649,0.004100561
