sample_size,time.taken,RMSE,MAE,time.taken.test
NA,NA,NA,NA,NA
100,0.024331093,14.19963826,10.06949554,0.108176231
600,0.371691942,7.846938133,4.966765641,0.103711843
1100,1.092060804,6.664954702,4.251647881,0.188278913
1600,3.207813978,5.985382991,3.85920764,0.274464607
2100,7.084788322,5.372005156,3.531385878,0.356582403
2600,16.57521868,5.220799217,3.467796677,0.442282915
3100,28.42130685,4.68053235,3.130656676,0.527500153
3600,45.20437407,4.709701776,3.108043413,0.615044355
4100,67.4653852,4.43753357,2.988329491,0.705621243
4600,96.29787159,4.431301108,2.925874629,0.799806595
5100,129.2470024,4.18768233,2.839149774,0.87642765
5600,168.9210527,4.056524587,2.782964098,0.969053268
6100,217.2428184,4.11724252,2.756343473,1.04745388
6600,272.6428258,3.992399866,2.671297906,1.153578997
7100,344.891886,3.897292405,2.656128762,1.262929201
7600,418.4536216,3.82072703,2.60589659,1.355158806
8100,506.6316392,3.816548828,2.606847769,1.429913044
8600,606.0871251,3.800582005,2.57575837,1.520524263
9100,720.9856617,3.737892618,2.540880517,1.749148846
9600,843.4611294,3.646516981,2.492373845,1.692432404
10100,975.1859457,3.639553517,2.486606843,1.791590452
10600,1121.975082,3.550011471,2.429618407,1.871377707
11100,1285.238727,3.519412258,2.427534307,1.970873594
11600,1454.708223,3.557887411,2.421790277,2.076309443
12100,1653.457527,3.534338217,2.403251259,2.137427568
12600,1862.107658,3.49523804,2.401887767,2.381871939
13100,2138.052115,3.488914754,2.381506573,2.553561211
13600,2300.785616,3.44438681,2.35380109,2.428550005
14100,2587.837818,3.451575451,2.347369417,2.738231421
100,0.118420124,12.07540136,8.563119561,0.109176231
1100,1.720019579,6.427439798,4.068285821,0.187278913
2100,7.830993652,5.454226709,3.479311183,0.358882403
3100,28.14861441,4.927879752,3.177359112,0.527610153
4100,66.72207546,4.495762496,2.955371733,0.711621243
5100,128.1792989,4.272697984,2.83804208,0.86542765
6100,215.9908669,4.08396525,2.731632241,1.02745388
7100,338.3455656,3.897380068,2.571973136,1.288929201
8100,497.4187479,3.829970297,2.57918346,1.459913044
9100,710.5018487,3.705062854,2.44635811,1.749148846
10100,961.2702289,3.654460051,2.477637655,1.791590411
11100,1263.851094,3.552239872,2.437001384,1.970871594
12100,1625.853446,3.577760832,2.395180189,2.137636568
13100,2061.000457,3.483242127,2.330622611,2.553561211
14100,2567.824772,3.443782948,2.347047639,2.738256453
