method,sample_size,time.taken,RMSE,MAE
alc,100,3.423627615,4.206243345,3.161893917
alc,600,21.08603048,2.439307165,1.737101657
alc,1100,32.3881824,2.235097603,1.597733126
alc,1600,32.26261783,2.458714685,1.704529636
alc,2100,32.35613084,2.156354394,1.546312039
alc,2600,32.17239189,2.189652694,1.547034681
alc,3100,32.03094149,2.242631176,1.578421099
alc,100,5.173716545,3.386747794,2.42439349
alc,600,20.63912487,2.51195005,1.735138657
alc,1100,32.15693474,2.405968413,1.687292593
alc,1600,32.41342306,2.37836874,1.630537463
alc,2100,32.41999745,2.339252889,1.614674954
alc,2600,32.25172067,2.27934939,1.590343384
alc,3100,32.05586195,2.261141704,1.579471342
alc,100,5.044197321,3.296831175,2.38027757
alc,600,20.9747889,2.53214515,1.734937915
alc,1100,32.56536269,2.376064684,1.648203842
alc,1600,32.39241385,2.372905555,1.656345994
alc,2100,32.23111987,2.301038122,1.591563582
alc,2600,32.32865405,2.32157468,1.611525929
alc,3100,32.1700778,2.307912642,1.604802732
alcray,100,9.184819221,3.692983707,2.687833067
alcray,600,11.58779597,2.361160875,1.684939739
alcray,1100,11.78512526,2.353555658,1.680472761
alcray,1600,11.42711878,2.30666315,1.648777424
alcray,2100,11.66441011,2.37981231,1.637784702
alcray,2600,11.60734844,2.192797768,1.566280274
alcray,3100,11.68639112,2.205723542,1.573813462
alcray,100,10.10116196,4.002102635,2.813184206
alcray,600,11.57162166,2.376692095,1.724159361
alcray,1100,11.59156299,2.453084824,1.68078832
alcray,1600,11.50768995,2.442965692,1.667224563
alcray,2100,11.49061584,2.498476666,1.69860333
alcray,2600,11.73197436,2.266133395,1.630269486
alcray,3100,11.78254223,2.25675336,1.603884794
nn,100,2.649692774,3.606534258,2.527889914
nn,600,3.800194025,2.289245516,1.652801188
nn,1100,3.30496192,2.643739312,1.756401714
nn,1600,3.263583183,2.398801189,1.67869762
nn,2100,3.159250259,2.21119067,1.567429231
nn,2600,3.28751564,2.216028535,1.591475091
nn,3100,3.123517275,2.314141996,1.6302572
nn,100,2.987246752,3.53524208,2.361713936
nn,600,3.776628733,2.557969,1.720408866
nn,1100,3.351902723,2.479843539,1.690329958
nn,1600,3.164370537,2.366035653,1.669395536
nn,2100,3.213936806,2.348946519,1.662300962
nn,2600,3.191270113,2.305656835,1.616475831
nn,3100,3.162760735,2.272550441,1.604565258
nn,100,3.241193533,3.048797003,2.267002207
nn,600,4.009072542,2.216171187,1.59067868
nn,1100,3.513336897,2.223974847,1.59922853
nn,1600,3.245216131,2.423550189,1.694204778
nn,2100,3.230485439,2.324293935,1.669768611
nn,2600,3.160149097,2.315422523,1.620215345
nn,3100,3.142037868,2.284449246,1.603441371
