"sample_size","time.taken","RMSE","MAE"
NA,NA,NA,NA
100,2.64969277381897,3.60653425844293,2.52788991432348
600,3.80019402503967,2.28924551550688,1.65280118803041
1100,3.30496191978455,2.64373931168982,1.75640171449641
1600,3.26358318328857,2.39880118917281,1.67869762022963
2100,3.15925025939941,2.21119067010205,1.56742923135957
2600,3.28751564025879,2.21602853459799,1.59147509075625
3100,3.12351727485657,2.31414199551407,1.63025719996242
100,2.98724675178528,3.53524207988899,2.36171393615102
600,3.77662873268127,2.55796900003053,1.72040886620932
1100,3.35190272331238,2.47984353870364,1.69032995799639
1600,3.1643705368042,2.36603565250856,1.66939553601487
2100,3.2139368057251,2.34894651934503,1.66230096215364
2600,3.19127011299133,2.30565683471953,1.61647583092433
3100,3.16276073455811,2.27255044097353,1.60456525759062
100,3.24119353294373,3.04879700339858,2.26700220689272
600,4.00907254219055,2.21617118697103,1.59067867968751
1100,3.51333689689636,2.22397484704872,1.59922853030851
1600,3.24521613121033,2.42355018944033,1.69420477846455
2100,3.23048543930054,2.32429393460492,1.66976861137082
2600,3.16014909744263,2.31542252295397,1.62021534541403
3100,3.14203786849976,2.2844492464428,1.60344137059774
