method,sample_size,time.taken,RMSE,MAE
alcray,100,3.077801943,1.899750789,1.067083482
alcray,10100,293.8252943,1.022305738,0.645380942
alcray,20100,589.6060054,1.027751135,0.633408309
alcray,30100,820.4204702,0.998588628,0.646915001
alcray,40100,654.3354609,0.949059063,0.615985021
alcray,50100,934.7959857,0.998407552,0.641927237
alcray,60100,991.0440958,0.946215617,0.614277656
alcray,70100,1343.473404,0.987102833,0.62976781
alcray,80100,1320.041077,0.967808753,0.612919168
alcray,90100,1483.146971,0.953059628,0.611419743
alcray,100100,1995.533688,0.990884427,0.630517387
alcray,110100,1823.573263,0.957007468,0.610543925
alcray,120100,2426.706118,0.985527471,0.626091896
alcray,130100,2177.820907,0.964496691,0.611820724
alcray,140100,2828.41416,0.971489395,0.616046297
alcray,150100,3103.714934,0.978424224,0.620215914
alcray,160100,2708.281386,0.94213358,0.604263909
alcray,170100,2912.171345,0.958438487,0.6050781
alcray,180100,3702.573292,0.964992262,0.612364162
alcray,190100,3244.207602,0.949679343,0.601562801
alcray,200100,4113.828787,0.960040728,0.609794598
alcray,210100,3668.611248,0.951470468,0.600820891
alcray,220100,3857.397221,0.949692041,0.603307841
alcray,230100,4762.066052,0.960596126,0.609162444
alcray,240100,4173.029316,0.947512681,0.600957306
alcray,250100,5363.636641,0.958633567,0.608450022
alcray,260100,5438.385133,0.95736194,0.605416136
alcray,270100,5379.760306,0.956867288,0.604668241
alcray,280100,5588.425271,0.957407007,0.605453156
alcray,290100,5758.197764,0.963459647,0.60768968
alcray,300100,5707.36827,0.957459549,0.605101166
alcray,310100,4785.781206,0.945141741,0.596987536
alcray,320100,5717.280819,0.956355922,0.604156602
alcray,330100,4766.967798,0.942335529,0.595734841
alcray,340100,5459.069819,0.951960516,0.602101112
alcray,350100,4872.824852,0.942901207,0.596613289
alcray,360100,4813.966213,0.943982935,0.595799941
alcray,370100,4897.937087,0.942174604,0.594834989
alcray,380100,5818.790491,0.950838426,0.600013071
alcray,390100,5663.976499,0.951499176,0.600899052
alcray,400100,5680.335543,0.948158819,0.598233597
alcray,410100,5592.08859,0.948536225,0.598801847
alcray,420100,6070.588202,0.952031131,0.601209277
alcray,430100,5015.951967,0.940526735,0.594397771
alcray,440100,6070.44971,0.952680835,0.601098841
alcray,450100,5097.292685,0.9389227,0.592842305
alcray,460100,6036.553458,0.951405346,0.598482125
alcray,470100,5043.195776,0.940765855,0.592964573
alcray,480100,5123.856263,0.937440989,0.591758281
alcray,490100,5170.039743,0.939191577,0.592724461
alcray,500100,5759.200368,0.944613325,0.595244728
alcray,510100,5193.659881,0.9372922,0.58990729
alcray,520100,5240.024747,0.937334434,0.591334269
alcray,530100,5774.906089,0.946500726,0.595982407
alcray,540100,5287.817698,0.936358939,0.590477614
alcray,550100,5328.184177,0.937321494,0.591171936
alcray,560100,5981.183668,0.943893523,0.594293129
alcray,570100,5741.590068,0.940960266,0.593622122
alcray,580100,5314.972967,0.93439202,0.589069208
alcray,590100,5771.884962,0.942573217,0.593205164
alcray,600100,6106.657156,0.943763482,0.59404852
alcray,610100,6179.502149,0.942537153,0.593467867
alcray,620100,5521.163719,0.93412007,0.589570749
alcray,630100,5491.861566,0.933213514,0.588103501
alcray,640100,5938.659579,0.940500651,0.59199415
alcray,650100,6088.067061,0.940607883,0.591965659
alcray,660100,5619.322842,0.933537757,0.588071328
alcray,670100,5597.342933,0.933474302,0.588014002
alcray,680100,6358.761106,0.941138529,0.592767436
alcray,690100,5528.71126,0.932483207,0.587424362
alcray,700100,6043.62757,0.939128326,0.591523718
alcray,710100,6484.905384,0.941288046,0.591686325
alcray,720100,5730.277913,0.930801912,0.586867895
alcray,730100,5682.011412,0.931382694,0.586979787
alcray,740100,6331.282789,0.937128175,0.589797716
alcray,750100,6284.406264,0.937426389,0.589708436
alcray,760100,5813.883313,0.930250071,0.586275322
alcray,770100,5826.665993,0.930552891,0.585963316
alcray,780100,6652.31856,0.941515179,0.591365649
alcray,790100,5863.542354,0.931194169,0.585688695
alcray,800100,5921.042308,0.929526155,0.58478624
alcray,810100,6267.002753,0.935697782,0.588216495
alcray,820100,6121.767536,0.935502932,0.58803067
alcray,830100,5876.293139,0.929925101,0.584531887
alcray,840100,5814.365736,0.929995233,0.585075525
alcray,850100,6832.99503,0.940207597,0.589349567
alcray,860100,6393.391817,0.936418967,0.587350453
alcray,870100,6328.047766,0.93527791,0.587262199
alcray,880100,6160.082649,0.929023798,0.584371835
alcray,890100,6159.679168,0.929219003,0.584391585
alcray,900100,6907.338928,0.93549585,0.587757896
alcray,910100,6194.177306,0.928812626,0.584033804
alcray,920100,6763.088723,0.937192767,0.58734748
alcray,930100,6665.012873,0.935032748,0.586654812
alcray,940100,6576.236918,0.933482353,0.586184037
alcray,950100,6164.354625,0.926617246,0.582923926
alcray,960100,6333.63001,0.928254296,0.583142524
alcray,970100,6275.542731,0.928070984,0.582842542
alcray,980100,6623.600582,0.93207874,0.585212437
alcray,990100,6650.741067,0.934885715,0.58586689
alcray,1.00E+06,7140.715853,0.934932734,0.586818233
alcray,1052854,6620.732857,0.925967737,0.581497631
