"data","method","sample_size","time.taken","RMSE","MAE"
"abalone","alc",100,5.044197321,3.386747794,2.42439349
"abalone","alc",600,20.9747889,2.51195005,1.735138657
"abalone","alc",1100,32.3881824,2.376064684,1.648203842
"abalone","alc",1600,32.39241385,2.37836874,1.656345994
"abalone","alc",2100,32.35613084,2.301038122,1.591563582
"abalone","alc",2600,32.25172067,2.27934939,1.590343384
"abalone","alc",3100,32.05586195,2.261141704,1.579471342
"abalone","alcray",100,9.6429905905,3.847543171,2.7505086365
"abalone","alcray",600,11.579708815,2.368926485,1.70454955
"abalone","alcray",1100,11.688344125,2.403320241,1.6806305405
"abalone","alcray",1600,11.467404365,2.374814421,1.6580009935
"abalone","alcray",2100,11.577512975,2.439144488,1.668194016
"abalone","alcray",2600,11.6696614,2.2294655815,1.59827488
"abalone","alcray",3100,11.734466675,2.231238451,1.588849128
"abalone","nn",100,2.987246752,3.53524208,2.361713936
"abalone","nn",600,3.800194025,2.289245516,1.652801188
"abalone","nn",1100,3.351902723,2.479843539,1.690329958
"abalone","nn",1600,3.245216131,2.398801189,1.67869762
"abalone","nn",2100,3.213936806,2.324293935,1.662300962
"abalone","nn",2600,3.191270113,2.305656835,1.616475831
"abalone","nn",3100,3.142037868,2.284449246,1.604565258
"airplane","alcray",100,3.077801943,1.899750789,1.067083482
"airplane","alcray",10100,293.8252943,1.022305738,0.645380942
"airplane","alcray",20100,589.6060054,1.027751135,0.633408309
"airplane","alcray",30100,820.4204702,0.998588628,0.646915001
"airplane","alcray",40100,654.3354609,0.949059063,0.615985021
"airplane","alcray",50100,934.7959857,0.998407552,0.641927237
"airplane","alcray",60100,991.0440958,0.946215617,0.614277656
"airplane","alcray",70100,1343.473404,0.987102833,0.62976781
"airplane","alcray",80100,1320.041077,0.967808753,0.612919168
"airplane","alcray",90100,1483.146971,0.953059628,0.611419743
"airplane","alcray",100100,1995.533688,0.990884427,0.630517387
"airplane","alcray",110100,1823.573263,0.957007468,0.610543925
"airplane","alcray",120100,2426.706118,0.985527471,0.626091896
"airplane","alcray",130100,2177.820907,0.964496691,0.611820724
"airplane","alcray",140100,2828.41416,0.971489395,0.616046297
"airplane","alcray",150100,3103.714934,0.978424224,0.620215914
"airplane","alcray",160100,2708.281386,0.94213358,0.604263909
"airplane","alcray",170100,2912.171345,0.958438487,0.6050781
"airplane","alcray",180100,3702.573292,0.964992262,0.612364162
"airplane","alcray",190100,3244.207602,0.949679343,0.601562801
"airplane","alcray",200100,4113.828787,0.960040728,0.609794598
"airplane","alcray",210100,3668.611248,0.951470468,0.600820891
"airplane","alcray",220100,3857.397221,0.949692041,0.603307841
"airplane","alcray",230100,4762.066052,0.960596126,0.609162444
"airplane","alcray",240100,4173.029316,0.947512681,0.600957306
"airplane","alcray",250100,5363.636641,0.958633567,0.608450022
"airplane","alcray",260100,5438.385133,0.95736194,0.605416136
"airplane","alcray",270100,5379.760306,0.956867288,0.604668241
"airplane","alcray",280100,5588.425271,0.957407007,0.605453156
"airplane","alcray",290100,5758.197764,0.963459647,0.60768968
"airplane","alcray",300100,5707.36827,0.957459549,0.605101166
"airplane","alcray",310100,4785.781206,0.945141741,0.596987536
"airplane","alcray",320100,5717.280819,0.956355922,0.604156602
"airplane","alcray",330100,4766.967798,0.942335529,0.595734841
"airplane","alcray",340100,5459.069819,0.951960516,0.602101112
"airplane","alcray",350100,4872.824852,0.942901207,0.596613289
"airplane","alcray",360100,4813.966213,0.943982935,0.595799941
"airplane","alcray",370100,4897.937087,0.942174604,0.594834989
"airplane","alcray",380100,5818.790491,0.950838426,0.600013071
"airplane","alcray",390100,5663.976499,0.951499176,0.600899052
"airplane","alcray",400100,5680.335543,0.948158819,0.598233597
"airplane","alcray",410100,5592.08859,0.948536225,0.598801847
"airplane","alcray",420100,6070.588202,0.952031131,0.601209277
"airplane","alcray",430100,5015.951967,0.940526735,0.594397771
"airplane","alcray",440100,6070.44971,0.952680835,0.601098841
"airplane","alcray",450100,5097.292685,0.9389227,0.592842305
"airplane","alcray",460100,6036.553458,0.951405346,0.598482125
"airplane","alcray",470100,5043.195776,0.940765855,0.592964573
"airplane","alcray",480100,5123.856263,0.937440989,0.591758281
"airplane","alcray",490100,5170.039743,0.939191577,0.592724461
"airplane","alcray",500100,5759.200368,0.944613325,0.595244728
"airplane","alcray",510100,5193.659881,0.9372922,0.58990729
"airplane","alcray",520100,5240.024747,0.937334434,0.591334269
"airplane","alcray",530100,5774.906089,0.946500726,0.595982407
"airplane","alcray",540100,5287.817698,0.936358939,0.590477614
"airplane","alcray",550100,5328.184177,0.937321494,0.591171936
"airplane","alcray",560100,5981.183668,0.943893523,0.594293129
"airplane","alcray",570100,5741.590068,0.940960266,0.593622122
"airplane","alcray",580100,5314.972967,0.93439202,0.589069208
"airplane","alcray",590100,5771.884962,0.942573217,0.593205164
"airplane","alcray",600100,6106.657156,0.943763482,0.59404852
"airplane","alcray",610100,6179.502149,0.942537153,0.593467867
"airplane","alcray",620100,5521.163719,0.93412007,0.589570749
"airplane","alcray",630100,5491.861566,0.933213514,0.588103501
"airplane","alcray",640100,5938.659579,0.940500651,0.59199415
"airplane","alcray",650100,6088.067061,0.940607883,0.591965659
"airplane","alcray",660100,5619.322842,0.933537757,0.588071328
"airplane","alcray",670100,5597.342933,0.933474302,0.588014002
"airplane","alcray",680100,6358.761106,0.941138529,0.592767436
"airplane","alcray",690100,5528.71126,0.932483207,0.587424362
"airplane","alcray",700100,6043.62757,0.939128326,0.591523718
"airplane","alcray",710100,6484.905384,0.941288046,0.591686325
"airplane","alcray",720100,5730.277913,0.930801912,0.586867895
"airplane","alcray",730100,5682.011412,0.931382694,0.586979787
"airplane","alcray",740100,6331.282789,0.937128175,0.589797716
"airplane","alcray",750100,6284.406264,0.937426389,0.589708436
"airplane","alcray",760100,5813.883313,0.930250071,0.586275322
"airplane","alcray",770100,5826.665993,0.930552891,0.585963316
