method,sample_size,time.taken,RMSE,MAE
alc,100,1.00669384,10.38868543,6.70264601
alc,600,17.6070075,7.574319073,4.664073281
alc,1100,53.48949933,6.642390059,4.102184506
alc,1600,77.05090165,6.371480079,3.910504369
alc,2100,101.8969498,6.212197282,3.705160411
alc,2600,126.9773352,5.25595238,3.227703394
alc,3100,150.0719965,5.706628072,3.40833835
alc,3600,175.6451244,5.482004714,3.249476454
alc,4100,199.9010324,4.85747597,2.972997445
alc,4600,217.3512661,4.624311935,2.805736984
alc,5100,217.6768007,4.484834495,2.740682219
alc,5600,216.7640538,4.358592628,2.612944465
alc,6100,217.169013,4.32052315,2.573845045
alc,6600,217.5974352,4.292591303,2.563560613
alc,7100,217.4396281,4.060862509,2.451368974
alc,7600,217.2619896,4.017308664,2.397476072
alc,8100,216.0703585,3.830205132,2.323576937
alc,8600,217.1957691,4.027951569,2.313867792
alc,9100,217.1907845,3.546832768,2.154837435
alc,9600,217.8506978,3.68756709,2.17372151
alc,10100,216.8656917,3.717088669,2.18552876
alc,10600,217.6980119,3.372078347,2.08942017
alc,11100,218.1144714,3.307408732,2.012373941
alc,11600,218.1802697,3.541451012,2.084368899
alc,12100,217.7203104,3.428326553,2.03824695
alc,12600,217.3158245,3.302732298,1.948393292
alc,13100,217.6345105,3.461774507,2.015408186
alc,13600,219.064621,3.119253012,1.847507827
alc,14100,217.994137,3.328540662,1.913739505
alc,14600,218.3065321,3.146610337,1.858848105
alc,15100,218.7478955,2.958403617,1.803985506
alc,15600,218.8550279,3.030520956,1.783185188
alc,16100,218.7171781,2.892096653,1.778477055
alc,16600,218.9501166,2.991718442,1.75731889
alc,17100,218.5778673,3.014713182,1.771266728
alc,17600,218.8863041,2.738808563,1.667238781
alc,18100,219.745681,2.811636439,1.673181805
alc,18600,218.5250025,2.736630809,1.664599763
alc,19100,218.8192129,2.650100636,1.617651958
alc,19600,218.7150543,2.631095209,1.600795978
alc,20100,219.0643661,2.554628716,1.588572667
alc,20600,218.9657564,2.622787924,1.568810748
alc,21100,219.18855,2.703945625,1.555022549
alc,21600,219.4518836,2.614775383,1.563170519
alc,22100,219.2627203,2.672768618,1.589488004
alc,22600,218.687536,2.458864606,1.506484614
