"sample_size","time.taken","RMSE","MAE"
NA,NA,NA,NA
100,1.00669384002686,10.3886854264956,6.70264601034729
600,17.6070075035095,7.574319073156,4.66407328056132
1100,53.4894993305206,6.64239005910943,4.10218450619305
1600,77.0509016513824,6.37148007939721,3.91050436947927
2100,101.896949768066,6.21219728210481,3.70516041129178
2600,126.977335214615,5.2559523803127,3.22770339408811
3100,150.071996450424,5.70662807246551,3.40833834997298
3600,175.645124435425,5.48200471427341,3.24947645447152
4100,199.901032447815,4.85747597001548,2.97299744505295
4600,217.351266145706,4.62431193538765,2.80573698420254
5100,217.676800727844,4.48483449455578,2.74068221925385
5600,216.764053821564,4.35859262821541,2.61294446464977
6100,217.169013023376,4.32052315019168,2.57384504508476
6600,217.597435235977,4.29259130333906,2.56356061328891
7100,217.439628124237,4.0608625090002,2.45136897362877
7600,217.261989593506,4.01730866415068,2.39747607211744
8100,216.070358514786,3.8302051322086,2.32357693652426
8600,217.195769071579,4.0279515693428,2.31386779199265
9100,217.190784454346,3.5468327680291,2.15483743500228
9600,217.850697755814,3.68756709019057,2.17372151010542
10100,216.865691661835,3.71708866913775,2.18552875981771
10600,217.698011875153,3.37207834678194,2.08942016984923
11100,218.114471435547,3.30740873203563,2.01237394090773
11600,218.18026971817,3.54145101233889,2.08436889890365
12100,217.7203104496,3.42832655345035,2.03824695005347
12600,217.315824508667,3.30273229793213,1.94839329220975
13100,217.63451051712,3.46177450739861,2.0154081856464
13600,219.06462097168,3.11925301159436,1.84750782711441
14100,217.994137048721,3.32854066173798,1.91373950543594
14600,218.306532144547,3.14661033653672,1.85884810539091
15100,218.747895479202,2.95840361656918,1.80398550607131
15600,218.855027914047,3.03052095645586,1.78318518842947
16100,218.717178106308,2.89209665346153,1.77847705493921
16600,218.950116634369,2.9917184423635,1.75731889028994
17100,218.577867269516,3.01471318245896,1.77126672798047
17600,218.886304140091,2.7388085630595,1.66723878103193
18100,219.74568104744,2.81163643946584,1.6731818049419
18600,218.525002479553,2.73663080937744,1.66459976308223
19100,218.819212913513,2.65010063575576,1.61765195838233
19600,218.715054273605,2.63109520949434,1.60079597797382
20100,219.064366102219,2.55462871624287,1.5885726673097
20600,218.965756416321,2.62278792412703,1.56881074811969
21100,219.188549995422,2.70394562504675,1.55502254867959
21600,219.451883554459,2.61477538330617,1.56317051948929
22100,219.262720346451,2.67276861755211,1.58948800396847
22600,218.687536001205,2.45886460631007,1.50648461435074
23100,219.686902523041,2.4757528031278,1.48651097104156
23600,219.335920572281,2.36089668077222,1.43402209201204
24100,219.882708072662,2.49254314858448,1.48718017176526
24600,219.169957399368,2.50993512455739,1.46727773728733
25100,220.489228725433,2.54186083578622,1.42556696123828
25600,219.106894254684,2.44307976269611,1.36935241269756
26100,218.583707094193,2.24407349552309,1.37444399436972
26600,220.422766685486,2.25684375525526,1.37110710324856
27100,219.617614746094,2.5600673205679,1.36259046183538
27600,220.415638208389,2.30697344254585,1.37015781688817
28100,219.054836750031,2.25607865481272,1.35688245677908
28600,219.259932994843,2.29974111036736,1.3660176887041
29100,220.703591346741,2.26303289791545,1.33218294897934
29600,219.752856016159,2.1720655421292,1.29440746078574
30100,220.456628322601,2.27349941207411,1.33075427973393
30600,220.956136226654,2.26300632733646,1.32962365783135
31100,220.035743951797,2.08205341667311,1.25602242026519
31600,219.702389001846,2.2307297318622,1.29548819839213
32100,219.649830818176,2.06718420493443,1.25522459565145
32600,220.630083560944,2.17026609948696,1.26122482151474
33100,219.973533391953,2.03348027693638,1.2229413746395
33600,219.646640300751,2.13639050910819,1.25236627741767
34100,220.350342273712,2.04443495337574,1.21444957178379
34600,220.821809768677,1.99833075920014,1.19116055467576
35100,219.998804092407,1.95943840619713,1.18887752967662
35600,219.784276485443,1.90649133730889,1.14848551693548
36100,220.287988185883,1.92038362975384,1.19057715504757
36600,220.227036952972,1.93322767418243,1.18394396760612
37100,220.545824289322,1.91057087576085,1.1658664150792
37600,220.179316759109,1.8435396129368,1.13630539540594
38100,220.868945837021,1.88125654894513,1.16292539623887
38600,219.856317043304,1.9020656176793,1.13744459566289
39100,220.163509607315,1.80709891064506,1.12002796871898
39600,220.299539089203,1.84091728990159,1.11323053811323
40100,220.705223798752,1.74187289656181,1.07329770233511
40600,220.697679758072,1.80127551842536,1.0939177678757
41100,220.025330781937,1.83731738047597,1.10020652810633
41600,220.249635457993,1.74585774660266,1.08375129911216
42100,220.695551156998,1.81884975280242,1.07629522104477
42600,220.963277339935,1.73783224754392,1.08296869838423
43100,220.278941869736,1.71006213043845,1.06545819033342
43600,221.459417581558,1.71671504886575,1.04948285809138
44100,220.694167137146,1.69323380477499,1.03644859346095
